No,Code,Company Name,Listing Date,Shares,Listing Board
1,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,12 Jul 2012,"14,865,343,101",Main
2,BKDP,Bukit Darmo Property Tbk.,15 Jun 2007,"7,513,992,252",Development
3,BKSL,Sentul City Tbk.,28 Jul 1997,"167,708,902,705",Watchlist
4,BKSW,Bank QNB Indonesia Tbk.,21 Nov 2002,"34,953,681,505",Development
5,BLTA,Berlian Laju Tanker Tbk.,26 Mar 1990,"25,940,187,103",Watchlist
6,BLTZ,Graha Layar Prima Tbk.,10 Apr 2014,"873,937,142",Development
7,BWPT,Eagle High Plantations Tbk.,27 Oct 2009,"31,525,291,000",Main
8,BYAN,Bayan Resources Tbk.,12 Agt 2008,"33,333,335,000",Main
9,CANI,Capitol Nusantara Indonesia Tbk.,16 Jan 2014,"833,440,000",Watchlist
10,CASS,Cardig Aero Services Tbk.,05 Dec 2011,"2,086,950,000",Development
11,CEKA,Wilmar Cahaya Indonesia Tbk.,09 Jul 1996,"595,000,000",Main
12,CENT,Centratama Telekomunikasi Indonesia Tbk.,01 Nov 2001,"31,183,464,900",Watchlist
13,CFIN,Clipan Finance Indonesia Tbk.,27 Agt 1990,"3,984,520,457",Main
14,CINT,Chitose Internasional Tbk.,27 Jun 2014,"1,000,000,000",Development
15,ELSA,Elnusa Tbk.,06 Feb 2008,"7,298,500,000",Main
16,ELTY,Bakrieland Development Tbk.,30 Oct 1995,"43,521,913,019",Watchlist
17,EMDE,Megapolitan Developments Tbk.,12 Jan 2011,"3,350,000,000",Development
18,EMTK,Elang Mahkota Teknologi Tbk.,12 Jan 2010,"61,241,751,483",Main
19,ENRG,Energi Mega Persada Tbk.,07 Jun 2004,"24,821,230,250",Main
20,EPMT,Enseval Putera Megatrading Tbk.,01 Agt 1994,"2,708,640,000",Development
21,ERAA,Erajaya Swasembada Tbk.,14 Dec 2011,"15,950,000,000",Main
22,ERTX,Eratex Djaja Tbk.,21 Agt 1990,"1,286,539,792",Development
23,JPFA,Japfa Comfeed Indonesia Tbk.,23 Oct 1989,"11,726,575,201",Main
24,JRPT,Jaya Real Property Tbk.,29 Jun 1994,"13,750,000,000",Main
25,JSMR,Jasa Marga (Persero) Tbk.,12 Nov 2007,"7,257,871,200",Main
26,JSPT,Jakarta Setiabudi Internasional Tbk.,12 Jan 1998,"2,318,736,000",Watchlist
